"Rank","City","ParkScore","Population according to 2020 Forecast Census block groups provided by Esri.","Median park size normalized score out of 100","Parkland as % of adjusted city area normalized score out of 100","Score for % of residents within 10-minute walk of a park","Spending/resident normalized score out of 100","Basketball hoops normalized score out of 100","Dog parks normalized score out of 100","Playgrounds normalized score out of 100","Recreation normalized score out of 100","Restrooms normalized score out of 100","Splashpads normalized score out of 100","Amenities Average <i class='fas fa-question-circle","Low-income park space ratio normalized score out of 100","People of color park space ratio normalized score out of 100","Low-income 10-minute walk normalized score out of 100","People of color 10-minute walk normalized score out of 100","Equity normalized score out of 100"
"1","Washington, DC","84.4","706105","9","100","98","100","100","92","20","100","81","100","82","74","81","97","98","88"
"2","St. Paul, MN","80","304156","26","79","99","100","100","48","66","100","100","49","77","41","47","99","99","72"
"3","Minneapolis, MN","79.7","424009","49","77","98","100","46","64","65","100","91","100","78","18","25","98","98","60"
"4","Arlington, VA","79.6","232468","19","55","99","100","100","100","98","72","76","99","91","42","44","100","99","71"
"5","Chicago, IL","77.2","2739453","16","48","98","94","68","36","55","100","73","100","72","86","78","98","98","90"
"6","San Francisco, CA","76.3","881539","7","100","100","100","62","100","46","53","86","41","65","26","27","100","100","63"
"7","Irvine, CA","76","276033","54","100","83","91","100","4","68","100","97","25","66","79","17","75","83","64"
"8","Cincinnati, OH","75.9","307664","35","71","80","89","100","62","83","97","95","100","90","50","64","78","79","68"
"9","Seattle, WA","75.4","740202","47","63","96","100","39","75","23","43","71","45","49","41","73","97","96","77"
"10","Portland, OR","75","651984","42","95","86","100","45","100","25","27","100","100","66","22","23","86","86","54"
"11","New York, NY","74.8","8499843","4","100","99","100","57","66","28","20","24","100","49","52","44","100","99","74"
"12","Boston, MA","73.5","699096","8","86","100","78","47","73","62","68","37","100","65","52","60","100","100","78"
"13","Madison, WI","73.4","249750","40","74","93","79","100","100","100","1","87","41","72","16","65","92","92","66"
"14","St. Petersburg, FL","70.4","262530","29","93","63","78","56","92","52","78","100","56","72","80","100","62","69","78"
"15","Plano, TX","68.6","304844","100","46","67","100","75","32","78","18","45","22","45","40","71","55","66","58"
